run number,density,similar-wanted,step,percent-similar
3511,70,56,24,94.04247321931967
3513,70,58,25,96.15726739014411
3512,70,56,24,94.4153903623459
3514,70,58,31,96.18924889543446
3515,70,58,32,96.67329596817935
3516,70,58,26,96.31913303437966
3517,70,58,27,96.27976190476191
3518,70,58,25,96.35490753911806
3520,70,58,27,96.7741935483871
3521,70,60,24,96.07373271889401
3519,70,58,45,96.01029601029602
3522,70,60,29,96.64053751399776
3523,70,60,29,96.51674641148325
3525,70,60,22,95.76647979895611
3524,70,60,44,96.49089885531995
3526,70,60,28,96.58969804618117
3528,70,60,29,96.25137816979051
3527,70,60,45,96.09226077011056
3529,70,62,34,98.20627802690582
3530,70,62,42,98.50246652572234
3532,70,62,31,98.47328244274809
3531,70,62,34,98.4385843164469
3533,70,62,35,98.38854073410921
3534,70,62,45,98.46410066617321
3535,70,62,32,98.12878370941111
3536,70,62,34,98.0667517782236
3537,70,64,30,98.19494584837545
3541,70,64,31,98.33272260901428
3538,70,64,44,97.98356982823002
3539,70,64,38,98.50953206239168
3540,70,64,32,98.47355987643104
3542,70,64,33,98.35920959774171
3544,70,64,47,98.23024669288523
3545,70,66,40,98.55523043160204
3543,70,64,40,98.32599118942731
3546,70,66,33,97.90915645277578
3547,70,66,43,98.63687996970845
3549,70,66,34,98.184730379071
3548,70,66,42,98.29651815799326
3550,70,66,33,98.07866594163495
3551,70,66,38,98.34109972041006
3552,70,66,47,98.56656513169682
3553,70,68,53,99.44434486467108
3554,70,68,51,99.6332110703568
3555,70,68,62,99.70623811992397
3557,70,68,54,99.6692776327241
3558,70,68,49,99.60811041063214
3556,70,68,71,99.43386515697375
3559,70,68,64,99.55601092896174
3560,70,68,56,99.56255468066492
3561,70,70,67,99.54720778131812
3562,70,70,60,99.50963222416812
3563,70,70,73,99.49005609382968
3564,70,70,68,99.62134251290877
3565,70,70,52,99.47758678800135
3567,70,70,64,99.50822452094286
3566,70,70,73,99.65671129419842
3568,70,70,46,99.79774144614866
3569,70,72,90,99.85780305723428
3570,70,72,100,99.81174054424096
3571,70,72,96,99.72091400662829
3572,70,72,138,99.81174054424096
3573,70,72,103,99.79643765903307
3574,70,72,115,99.74781439139207
3575,70,72,91,99.69204448246364
3576,70,72,103,99.87947658402204
3577,70,74,106,99.74874371859298
3579,70,74,93,99.70414201183432
3578,70,74,112,99.76458718681688
3581,70,74,90,99.79152189020152
3580,70,74,102,99.71117906897723
3585,72,20,6,57.31015553522415
3583,70,74,72,99.69501255830642
3586,72,20,5,57.02666918857575
3587,72,20,6,59.87391062488411
3588,72,20,7,56.345366579828806
3589,72,20,9,58.76812959126012
3590,72,20,5,57.10506424792139
3592,72,20,5,58.424707602339176
3591,72,20,10,57.75991024682124
3593,72,22,6,64.35586366262275
3582,70,74,90,99.77796754910332
3594,72,22,8,64.62865716429107
3595,72,22,7,61.98798470780994
3596,72,22,7,63.378705948163336
3598,72,22,8,62.72811059907835
3597,72,22,10,60.77317698790766
3599,72,22,7,61.95709980499912
3601,72,24,6,61.73137655582389
3600,72,22,14,61.32697947214076
3602,72,24,8,60.05390835579515
3603,72,24,10,63.440460709641464
3604,72,24,10,61.781076066790355
3584,70,74,91,99.75924333619949
3605,72,24,8,59.78711888868844
3608,72,24,8,62.32446415373245
3609,72,26,9,66.12252736700596
3606,72,24,13,61.194814295725294
3607,72,24,12,60.50232558139535
3611,72,26,10,66.85567953173587
